n,time,stddev
1.0,4.76837158203125e-07,1.148375947837095e-06
2.0,3.5762786865234375e-07,4.5549805580479624e-07
4.0,8.58306884765625e-07,5.662127536314925e-07
8.0,1.4066696166992188e-06,5.687170239389688e-07
16.0,2.360343933105469e-06,5.272232148050303e-07
32.0,4.482269287109375e-06,4.978326086478495e-07
64.0,9.036064147949218e-06,4.821717361487553e-07
128.0,1.7642974853515625e-05,5.331201499700045e-07
256.0,3.478527069091797e-05,1.47530827564287e-06
512.0,7.028579711914063e-05,1.6716526167829616e-06
1024.0,0.00014166831970214845,2.288818359375e-06
2048.0,0.0002813816070556641,1.982748306874446e-06
4096.0,0.000552511215209961,1.1447667516942533e-05
8192.0,0.0010494470596313476,2.3185529551874592e-05
16384.0,0.002122354507446289,5.933680437244788e-05
32768.0,0.004156088829040528,7.813435181067739e-05
65536.0,0.008292078971862793,0.0002037318565919452
131072.0,0.017001533508300783,0.00045705156519227345
262144.0,0.03379964828491211,0.0005475172594676145
524288.0,0.06752865314483643,0.0007643034934205696
1048576.0,0.13548743724822998,0.002003187150414603
2097152.0,0.27200076580047605,0.0034218333474352724
4194304.0,0.543845272064209,0.004976074806799705
8388608.0,1.0933645963668823,0.0110068315455546
16777216.0,2.236169385910034,0.023081388578953373
33554432.0,4.4851854085922245,0.018937349635067185
67108864.0,8.893831086158752,0.0459921828012188
134217728.0,17.879919695854188,0.04375691173899713
268435456.0,35.7558272600174,0.11962107038292547
536870912.0,71.68165228366851,0.9318783124775614
