n,time,stddev
1.0,1.5020370483398437e-06,3.8885624401780595e-06
2.0,2.86102294921875e-07,4.498472753551771e-07
4.0,3.814697265625e-07,4.672030911985737e-07
8.0,4.291534423828125e-07,5.309833872633002e-07
16.0,4.0531158447265624e-07,5.006790161132812e-07
32.0,1.9073486328125e-07,3.814697265625001e-07
64.0,2.6226043701171877e-07,4.0531158447265624e-07
128.0,3.0994415283203126e-07,4.77432832586784e-07
256.0,3.5762786865234375e-07,5.766576110099708e-07
512.0,5.960464477539062e-07,4.915124923727108e-07
1024.0,7.152557373046875e-07,6.125084199268879e-07
2048.0,1.1444091796875e-06,3.6626557101576846e-07
4096.0,1.5020370483398437e-06,9.050489852954056e-07
8192.0,4.100799560546875e-06,3.0229369851294445e-06
16384.0,6.651878356933593e-06,3.4852360287885906e-06
32768.0,1.2850761413574218e-05,8.070002264847212e-06
65536.0,3.204345703125e-05,1.8359840619715247e-05
131072.0,5.750656127929687e-05,2.2381854436122456e-05
262144.0,0.00013990402221679686,2.674920457724963e-05
524288.0,0.00028913021087646485,5.416322839149429e-05
1048576.0,0.0006051778793334961,0.00011294610823992241
2097152.0,0.0008693695068359375,0.00036931122865326726
4194304.0,0.0029983282089233398,0.0002597962363453234
8388608.0,0.0058391809463500975,0.0005384982117474951
16777216.0,0.011413359642028808,0.000687673237118822
33554432.0,0.0235518217086792,0.0021784155904778254
67108864.0,0.046862125396728516,0.0024132308643503644
134217728.0,0.12238953113555909,0.0017124481204361178
268435456.0,0.2640660047531128,0.0056615460425505915
536870912.0,0.5705153465270996,0.022469486881180823
